Province,City,Suburb,Area,Listed,Sold,Inventory
gauteng,johannesburg,bedfordview,bedford-gardens,247,5.0,49.4
gauteng,johannesburg,bedfordview,bedford-park,17,6.0,2.8333333333333335
gauteng,johannesburg,bedfordview,bedfordview,314,12.0,26.166666666666668
gauteng,johannesburg,bedfordview,essexwold,10,1.0,10.0
gauteng,johannesburg,bedfordview,meadowbrook,14,3.0,4.666666666666667
gauteng,johannesburg,bedfordview,morninghill,74,5.0,14.8
gauteng,johannesburg,bedfordview,oriel,25,1.0,25.0
gauteng,johannesburg,bedfordview,senderwood,4,3.0,1.3333333333333333
gauteng,johannesburg,bedfordview,st-andrews,55,3.0,18.333333333333332
gauteng,johannesburg,fourways-sunninghill-and-lonehill,beverley,68,9.0,7.555555555555555
gauteng,johannesburg,fourways-sunninghill-and-lonehill,bloubosrand,104,8.0,13.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,broadacres,301,10.0,30.1
gauteng,johannesburg,fourways-sunninghill-and-lonehill,cedar-creek,5,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,cedar-lakes,6,2.0,3.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,craigavon,119,13.0,9.153846153846153
gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern,200,25.0,8.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern-ridge,5,1.0,5.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern-valley,1,1.0,1.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,douglasdale,272,43.0,6.325581395348837
gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,543,50.0,10.86
gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways-gardens,10,2.0,5.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,jukskei-park,66,2.0,33.0
gauteng,johannesburg,fourways-sunninghill-and-lonehill,kengies,23,3.0,7.666666666666667
gauteng,johannesburg,fourways-sunninghill-and-lonehill,lonehill,384,52.0,7.384615384615385
gauteng,johannesburg,fourways-sunninghill-and-lonehill,maroeladal,31,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,367,52.0,7.0576923076923075
gauteng,johannesburg,fourways-sunninghill-and-lonehill,pineslopes,17,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,steyn-city,1,,
gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,305,41.0,7.439024390243903
gauteng,johannesburg,johannesburg-south,aeroton,15,,
gauteng,johannesburg,johannesburg-south,alan-manor,63,,
gauteng,johannesburg,johannesburg-south,alveda,132,3.0,44.0
gauteng,johannesburg,johannesburg-south,aspen-hills,3,,
gauteng,johannesburg,johannesburg-south,bassonia,73,,
gauteng,johannesburg,johannesburg-south,crown-gardens,36,,
gauteng,johannesburg,johannesburg-south,eikenhof,41,,
gauteng,johannesburg,johannesburg-south,elandspark,75,,
gauteng,johannesburg,johannesburg-south,eye-of-africa,21,,
gauteng,johannesburg,johannesburg-south,forest-hill,35,3.0,11.666666666666666
gauteng,johannesburg,johannesburg-south,gillview,11,2.0,5.5
gauteng,johannesburg,johannesburg-south,glenanda,35,,
gauteng,johannesburg,johannesburg-south,glenvista,207,,
gauteng,johannesburg,johannesburg-south,haddon,39,3.0,13.0
gauteng,johannesburg,johannesburg-south,katlehong,327,2.0,163.5
gauteng,johannesburg,johannesburg-south,kenilworth,31,2.0,15.5
gauteng,johannesburg,johannesburg-south,kibler-park,290,7.0,41.42857142857143
gauteng,johannesburg,johannesburg-south,liefde-en-vrede,93,4.0,23.25
gauteng,johannesburg,johannesburg-south,linmeyer,114,3.0,38.0
gauteng,johannesburg,johannesburg-south,meredale,137,3.0,45.666666666666664
gauteng,johannesburg,johannesburg-south,moffat-view,21,,
gauteng,johannesburg,johannesburg-south,mondeor,194,7.0,27.714285714285715
gauteng,johannesburg,johannesburg-south,mulbarton,181,7.0,25.857142857142858
gauteng,johannesburg,johannesburg-south,naturena,173,5.0,34.6
gauteng,johannesburg,johannesburg-south,oakdene,327,10.0,32.7
gauteng,johannesburg,johannesburg-south,ormonde,259,7.0,37.0
gauteng,johannesburg,johannesburg-south,regents-park,35,3.0,11.666666666666666
gauteng,johannesburg,johannesburg-south,ridgeway,172,2.0,86.0
gauteng,johannesburg,johannesburg-south,robertsham,34,4.0,8.5
gauteng,johannesburg,johannesburg-south,roseacre,29,,
gauteng,johannesburg,johannesburg-south,rosettenville,97,2.0,48.5
gauteng,johannesburg,johannesburg-south,sky-city,1098,9.0,122.0
gauteng,johannesburg,johannesburg-south,south-hills,135,16.0,8.4375
gauteng,johannesburg,johannesburg-south,suideroord,36,6.0,6.0
gauteng,johannesburg,johannesburg-south,the-hill,62,,
gauteng,johannesburg,johannesburg-south,turffontein,89,,
gauteng,johannesburg,johannesburg-south,winchester-hills,284,4.0,71.0
gauteng,johannesburg,north-riding-to-lanseria,bellairspark,11,,
gauteng,johannesburg,north-riding-to-lanseria,boskruin,30,8.0,3.75
gauteng,johannesburg,north-riding-to-lanseria,bromhof,100,28.0,3.5714285714285716
gauteng,johannesburg,north-riding-to-lanseria,chartwell,61,3.0,20.333333333333332
gauteng,johannesburg,north-riding-to-lanseria,cosmo-city,458,46.0,9.956521739130435
gauteng,johannesburg,north-riding-to-lanseria,farmall,2,,
gauteng,johannesburg,north-riding-to-lanseria,jackal-creek-northriding,2,5.0,0.4
gauteng,johannesburg,north-riding-to-lanseria,johannesburg-north,12,10.0,1.2
gauteng,johannesburg,north-riding-to-lanseria,kya-sands,76,,
gauteng,johannesburg,north-riding-to-lanseria,lanseria-and-surrounds,145,3.0,48.333333333333336
gauteng,johannesburg,north-riding-to-lanseria,nooitgedacht,39,1.0,39.0
gauteng,johannesburg,north-riding-to-lanseria,noordhang,48,1.0,48.0
gauteng,johannesburg,north-riding-to-lanseria,north-riding,510,55.0,9.272727272727273
gauteng,johannesburg,north-riding-to-lanseria,northgate,190,9.0,21.11111111111111
gauteng,johannesburg,north-riding-to-lanseria,northwold,136,32.0,4.25
gauteng,johannesburg,north-riding-to-lanseria,olivedale,138,13.0,10.615384615384615
gauteng,johannesburg,north-riding-to-lanseria,sharonlea,36,3.0,12.0
gauteng,johannesburg,north-riding-to-lanseria,sonneglans,78,3.0,26.0
gauteng,johannesburg,north-riding-to-lanseria,sundowner,134,23.0,5.826086956521739
gauteng,johannesburg,northcliff,albertskroon,2,,
gauteng,johannesburg,northcliff,albertville,57,4.0,14.25
gauteng,johannesburg,northcliff,auckland-park,46,3.0,15.333333333333334
gauteng,johannesburg,northcliff,berario,7,,
gauteng,johannesburg,northcliff,bergbron,64,9.0,7.111111111111111
gauteng,johannesburg,northcliff,blackheath,73,4.0,18.25
gauteng,johannesburg,northcliff,bosmont,19,2.0,9.5
gauteng,johannesburg,northcliff,brixton,55,6.0,9.166666666666666
gauteng,johannesburg,northcliff,crosby,42,6.0,7.0
gauteng,johannesburg,northcliff,delarey,11,,
gauteng,johannesburg,northcliff,emmarentia,4,,
gauteng,johannesburg,northcliff,fairland,90,34.0,2.6470588235294117
gauteng,johannesburg,northcliff,florida-glen,32,7.0,4.571428571428571
gauteng,johannesburg,northcliff,greenside,13,2.0,6.5
gauteng,johannesburg,northcliff,greymont,31,6.0,5.166666666666667
gauteng,johannesburg,northcliff,linden,31,5.0,6.2
gauteng,johannesburg,northcliff,melville,45,6.0,7.5
gauteng,johannesburg,northcliff,montgomery-park,41,9.0,4.555555555555555
gauteng,johannesburg,northcliff,newlands,54,13.0,4.153846153846154
gauteng,johannesburg,northcliff,northcliff,96,15.0,6.4
gauteng,johannesburg,northcliff,quellerina,22,4.0,5.5
gauteng,johannesburg,northcliff,richmond,34,3.0,11.333333333333334
gauteng,johannesburg,northcliff,risidale,6,1.0,6.0
gauteng,johannesburg,northcliff,riverlea,74,20.0,3.7
gauteng,johannesburg,northcliff,sophiatown,47,4.0,11.75
gauteng,johannesburg,northcliff,victory-park,16,5.0,3.2
gauteng,johannesburg,northcliff,westbury,12,,
gauteng,johannesburg,northcliff,westdene,101,16.0,6.3125
gauteng,johannesburg,northcliff,whiteridge,19,,
gauteng,johannesburg,randburg-and-ferndale,aldara-park,1,,
gauteng,johannesburg,randburg-and-ferndale,blairgowrie,74,31.0,2.3870967741935485
gauteng,johannesburg,randburg-and-ferndale,bordeaux,20,6.0,3.3333333333333335
gauteng,johannesburg,randburg-and-ferndale,cresta,10,2.0,5.0
gauteng,johannesburg,randburg-and-ferndale,darrenwood,12,3.0,4.0
